"dataset","quantity","term","value"
"synth_rising_ptconst","coef","(Intercept)","0.29961460342859386"
"synth_rising_ptconst","coef","arm","0.88933847467986094"
"synth_rising_ptconst","coef","z","0.66595003379996787"
"synth_rising_ptconst","coef","arm:z","0.27301571903658739"
"synth_rising_ptconst","loglik_full","full","-1242.6128288963641"
"synth_rising_ptconst","test_loglik_1","arm:z","-1242.6128288963641"
"synth_rising_ptconst","test_loglik_2","arm:z","-1248.2083780262005"
"synth_rising_ptconst","test_stat","arm:z","11.191098259672799"
"synth_rising_ptconst","test_df","arm:z","1"
"synth_rising_ptconst","test_prob","arm:z","0.00082190682868199527"
"synth_mid_delta","coef","(Intercept)","-0.059506168035539854"
"synth_mid_delta","coef","arm","0.13961420304980263"
"synth_mid_delta","coef","z","0.012961878765156495"
"synth_mid_delta","coef","arm:z","0.34257097211958953"
"synth_mid_delta","loglik_full","full","-1615.4847541328095"
"synth_mid_delta","test_loglik_1","arm:z","-1615.4847541328095"
"synth_mid_delta","test_loglik_2","arm:z","-1630.536914075607"
"synth_mid_delta","test_stat","arm:z","30.104319885595032"
"synth_mid_delta","test_df","arm:z","1"
"synth_mid_delta","test_prob","arm:z","4.0941819046125261e-08"
"synth_floor_sparse","coef","(Intercept)","-3.42035215337933"
"synth_floor_sparse","coef","arm","-0.15576741641118177"
"synth_floor_sparse","coef","z","0.085215907583215414"
"synth_floor_sparse","coef","arm:z","0.44166910366318796"
"synth_floor_sparse","loglik_full","full","-340.48012221749963"
"synth_floor_sparse","test_loglik_1","arm:z","-340.48012221749963"
"synth_floor_sparse","test_loglik_2","arm:z","-343.36425722630452"
"synth_floor_sparse","test_stat","arm:z","5.7682700176097796"
"synth_floor_sparse","test_df","arm:z","1"
"synth_floor_sparse","test_prob","arm:z","0.016318090794132045"
"sex2","coef","(Intercept)","0.1202537954253175"
"sex2","coef","age","-1.1059812942965277"
"sex2","coef","oc","-0.068816693253251335"
"sex2","coef","vic","2.2688748697139629"
"sex2","coef","vicl","-2.1114083396812307"
"sex2","coef","vis","-0.78831695310406069"
"sex2","coef","dia","3.0960120107170428"
"sex2","loglik_full","full","-132.53937953284517"
"sex2","test_loglik_1","age","-132.53937953284517"
"sex2","test_loglik_2","age","-136.29324499531424"
"sex2","test_stat","age","7.5077309249381301"
"sex2","test_df","age","1"
"sex2","test_prob","age","0.0061434718450883441"
"sex2","test_loglik_1","oc","-132.53937953284517"
"sex2","test_loglik_2","oc","-132.55171475065572"
"sex2","test_stat","oc","0.024670435621089837"
"sex2","test_df","oc","1"
"sex2","test_prob","oc","0.87519105862648405"
"sex2","test_loglik_1","vic","-132.53937953284517"
"sex2","test_loglik_2","vic","-144.00507464431743"
"sex2","test_stat","vic","22.931390222944515"
"sex2","test_df","vic","1"
"sex2","test_prob","vic","1.6788769586773e-06"
"sex2","test_loglik_1","vicl","-132.53937953284517"
"sex2","test_loglik_2","vicl","-142.09141579351726"
"sex2","test_stat","vicl","19.104072521344165"
"sex2","test_df","vicl","1"
"sex2","test_prob","vicl","1.2378047628103239e-05"
"sex2","test_loglik_1","vis","-132.53937953284517"
"sex2","test_loglik_2","vis","-134.38808441022985"
"sex2","test_stat","vis","3.6974097547693532"
"sex2","test_df","vis","1"
"sex2","test_prob","vis","0.054497008061534236"
"sex2","test_loglik_1","dia","-132.53937953284517"
"sex2","test_loglik_2","dia","-136.48784522626164"
"sex2","test_stat","dia","7.8969313868329323"
"sex2","test_df","dia","1"
"sex2","test_prob","dia","0.0049518733863898046"
